work_id,Hon'ble Members of Parliament,State,action_type,assigned_to,priority_score,stuck_days,queue_type
WS/MP18109/2024-2025/146897,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,91.2,572.0,proactive
WS/MP761/2025-2026/153983,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,91.2,639.0,proactive
WS/MP761/2024-2025/139052,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,91.1,674.0,proactive
WS/MP18109/2024-2025/150122,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,91.1,662.0,proactive
WS/MP598/2025-2026/151540,Suresh Kumar Kashyap,Himachal Pradesh,Monitor,MP + District Authority,91.1,652.0,proactive
WS/MP453/2025-2026/153905,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,91.0,639.0,proactive
WS/MP453/2024-2025/152808,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,91.0,639.0,proactive
WS/MP18176/2024-2025/139947,SACHITHANANTHAM R,Tamil Nadu,Monitor,MP + District Authority,90.8,706.0,proactive
WS/MP641/2024-2025/147367,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,90.7,607.0,proactive
WS/MP18144/2024-2025/148130,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,90.7,596.0,proactive
